module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
delbot_platform.application.__init__,delbot_platform/application/__init__.py,application,module,0,0,0,0,0,10,195
delbot_platform.application.documents.__init__,delbot_platform/application/documents/__init__.py,application,module,0,0,0,0,0,12,216
delbot_platform.application.documents.index,delbot_platform/application/documents/index.py,application,module,0,0,1,1,1,41,789
delbot_platform.application.documents.index_repository,delbot_platform/application/documents/index_repository.py,application,module,0,0,1,1,1,31,727
delbot_platform.application.factory.__init__,delbot_platform/application/factory/__init__.py,application,module,0,0,0,0,0,7,102
delbot_platform.application.factory.application_factory,delbot_platform/application/factory/application_factory.py,application,factory,0,0,1,4,0,52,1192
delbot_platform.application.repository.__init__,delbot_platform/application/repository/__init__.py,application,module,0,0,0,0,0,7,113
delbot_platform.application.repository.ingest,delbot_platform/application/repository/ingest.py,application,module,0,0,1,1,1,47,1000
delbot_platform.application.research.__init__,delbot_platform/application/research/__init__.py,application,module,0,0,0,0,0,7,103
delbot_platform.application.research.answer,delbot_platform/application/research/answer.py,application,module,0,0,1,1,1,35,706
delbot_platform.boot.__init__,delbot_platform/boot/__init__.py,boot,module,0,0,0,0,0,0,0
delbot_platform.boot.boot_result,delbot_platform/boot/boot_result.py,boot,module,0,0,1,2,0,38,570
delbot_platform.boot.boot_state,delbot_platform/boot/boot_state.py,boot,module,1,0,1,0,0,18,261
delbot_platform.boot.service_boot,delbot_platform/boot/service_boot.py,boot,service,1,0,1,3,0,82,966
delbot_platform.boot.service_health,delbot_platform/boot/service_health.py,boot,service,1,0,1,2,0,37,587
delbot_platform.boot.service_waiter,delbot_platform/boot/service_waiter.py,boot,service,0,0,1,3,0,88,1582
delbot_platform.config.__init__,delbot_platform/config/__init__.py,config,module,0,0,0,0,0,0,0
delbot_platform.config.loader,delbot_platform/config/loader.py,config,loader,1,0,1,1,0,17,243
delbot_platform.config.manager,delbot_platform/config/manager.py,config,module,0,0,0,0,0,0,0
delbot_platform.config.models,delbot_platform/config/models.py,config,model,0,0,0,0,0,0,0
delbot_platform.config.validator,delbot_platform/config/validator.py,config,module,0,0,0,0,0,0,0
delbot_platform.controller.__init__,delbot_platform/controller/__init__.py,controller,module,0,0,0,0,0,0,0
delbot_platform.controller.service_controller,delbot_platform/controller/service_controller.py,controller,service,3,0,1,9,0,102,1964
delbot_platform.core.__init__,delbot_platform/core/__init__.py,core,module,0,0,0,0,0,11,251
delbot_platform.core.config_manager,delbot_platform/core/config_manager.py,core,module,3,0,1,5,0,37,873
delbot_platform.core.environment,delbot_platform/core/environment.py,core,module,0,0,1,1,0,40,810
delbot_platform.core.lifecycle.__init__,delbot_platform/core/lifecycle/__init__.py,core,module,0,0,0,0,0,0,0
delbot_platform.core.lifecycle.boot_policy,delbot_platform/core/lifecycle/boot_policy.py,core,module,0,0,2,0,0,37,642
delbot_platform.core.lifecycle.orchestrator,delbot_platform/core/lifecycle/orchestrator.py,core,module,2,0,1,10,0,167,2927
delbot_platform.core.lifecycle.service_definition,delbot_platform/core/lifecycle/service_definition.py,core,service,11,0,1,0,0,99,1575
delbot_platform.core.lifecycle.service_dependency,delbot_platform/core/lifecycle/service_dependency.py,core,service,0,0,1,0,0,28,550
delbot_platform.core.lifecycle.service_event,delbot_platform/core/lifecycle/service_event.py,core,service,0,0,0,0,0,0,0
delbot_platform.core.lifecycle.service_loader,delbot_platform/core/lifecycle/service_loader.py,core,service,1,0,1,1,0,49,1032
delbot_platform.core.lifecycle.service_registry,delbot_platform/core/lifecycle/service_registry.py,core,service,1,0,1,9,0,85,1289
delbot_platform.core.lifecycle.service_state,delbot_platform/core/lifecycle/service_state.py,core,service,1,0,1,7,0,128,2611
delbot_platform.core.lifecycle.state_machine,delbot_platform/core/lifecycle/state_machine.py,core,module,1,0,1,1,0,73,1597
delbot_platform.core.logger,delbot_platform/core/logger.py,core,module,0,0,0,0,0,0,0
delbot_platform.core.path_manager,delbot_platform/core/path_manager.py,core,module,12,0,1,1,0,30,667
delbot_platform.core.runtime_manager,delbot_platform/core/runtime_manager.py,core,module,3,0,1,4,0,66,1175
delbot_platform.document_intelligence.__init__,delbot_platform/document_intelligence/__init__.py,document_intelligence,module,0,0,0,0,0,0,0
delbot_platform.document_intelligence.analyzer.__init__,delbot_platform/document_intelligence/analyzer/__init__.py,document_intelligence,module,0,0,0,0,0,15,394
delbot_platform.document_intelligence.analyzer.document_analyzer,delbot_platform/document_intelligence/analyzer/document_analyzer.py,document_intelligence,module,4,0,1,1,0,18,340
delbot_platform.document_intelligence.analyzer.heading_detector,delbot_platform/document_intelligence/analyzer/heading_detector.py,document_intelligence,module,2,0,1,9,0,254,5609
delbot_platform.document_intelligence.analyzer.layout_statistics_analyzer,delbot_platform/document_intelligence/analyzer/layout_statistics_analyzer.py,document_intelligence,module,1,0,1,1,0,96,2359
delbot_platform.document_intelligence.analyzer.page_text_analyzer,delbot_platform/document_intelligence/analyzer/page_text_analyzer.py,document_intelligence,module,2,0,1,1,0,40,914
delbot_platform.document_intelligence.backend.__init__,delbot_platform/document_intelligence/backend/__init__.py,document_intelligence,module,0,0,0,0,0,0,0
delbot_platform.document_intelligence.backend.backend,delbot_platform/document_intelligence/backend/backend.py,document_intelligence,module,1,0,1,2,0,35,610
delbot_platform.document_intelligence.backend.pdf.__init__,delbot_platform/document_intelligence/backend/pdf/__init__.py,document_intelligence,module,0,0,0,0,0,0,0
delbot_platform.document_intelligence.backend.pdfmupdf_backend,delbot_platform/document_intelligence/backend/pdf/pymupdf_backend.py,document_intelligence,module,0,0,1,2,0,36,580
delbot_platform.document_intelligence.builder.__init__,delbot_platform/document_intelligence/builder/__init__.py,document_intelligence,module,0,0,0,0,0,11,283
